Year,SERIES,UNIT_MEASURE,Value
2001,AG_PRD_AGVAS,PT,
2002,AG_PRD_AGVAS,PT,
2003,AG_PRD_AGVAS,PT,
2004,AG_PRD_AGVAS,PT,
2005,AG_PRD_AGVAS,PT,
2006,AG_PRD_AGVAS,PT,
2007,AG_PRD_AGVAS,PT,
2008,AG_PRD_AGVAS,PT,
2009,AG_PRD_AGVAS,PT,10.74
2010,AG_PRD_AGVAS,PT,9.61
2011,AG_PRD_AGVAS,PT,8.67
2012,AG_PRD_AGVAS,PT,8.04
2013,AG_PRD_AGVAS,PT,
2014,AG_PRD_AGVAS,PT,
2015,AG_PRD_AGVAS,PT,
2016,AG_PRD_AGVAS,PT,
2017,AG_PRD_AGVAS,PT,
2018,AG_PRD_AGVAS,PT,
2019,AG_PRD_AGVAS,PT,
2020,AG_PRD_AGVAS,PT,8.77
2021,AG_PRD_AGVAS,PT,
2001,AG_PRD_ORTIND,IX,
2002,AG_PRD_ORTIND,IX,
2003,AG_PRD_ORTIND,IX,
2004,AG_PRD_ORTIND,IX,
2005,AG_PRD_ORTIND,IX,
2006,AG_PRD_ORTIND,IX,
2007,AG_PRD_ORTIND,IX,
2008,AG_PRD_ORTIND,IX,
2009,AG_PRD_ORTIND,IX,0.21
2010,AG_PRD_ORTIND,IX,1.17
2011,AG_PRD_ORTIND,IX,0.41
2012,AG_PRD_ORTIND,IX,0.7
2013,AG_PRD_ORTIND,IX,
2014,AG_PRD_ORTIND,IX,
2015,AG_PRD_ORTIND,IX,
2016,AG_PRD_ORTIND,IX,
2017,AG_PRD_ORTIND,IX,
2018,AG_PRD_ORTIND,IX,
2019,AG_PRD_ORTIND,IX,
2020,AG_PRD_ORTIND,IX,1.39
2021,AG_PRD_ORTIND,IX,
2001,AG_XPD_AGSGB,PT,
2002,AG_XPD_AGSGB,PT,
2003,AG_XPD_AGSGB,PT,
2004,AG_XPD_AGSGB,PT,
2005,AG_XPD_AGSGB,PT,
2006,AG_XPD_AGSGB,PT,
2007,AG_XPD_AGSGB,PT,
2008,AG_XPD_AGSGB,PT,
2009,AG_XPD_AGSGB,PT,2.28
2010,AG_XPD_AGSGB,PT,11.2
2011,AG_XPD_AGSGB,PT,3.52
2012,AG_XPD_AGSGB,PT,5.67
2013,AG_XPD_AGSGB,PT,
2014,AG_XPD_AGSGB,PT,
2015,AG_XPD_AGSGB,PT,
2016,AG_XPD_AGSGB,PT,
2017,AG_XPD_AGSGB,PT,
2018,AG_XPD_AGSGB,PT,
2019,AG_XPD_AGSGB,PT,
2020,AG_XPD_AGSGB,PT,12.24
2021,AG_XPD_AGSGB,PT,
